iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
137,328800,-41.0,0.0,0.12,4.0,-9.91,1.0,1.325,0.2353,-0.0394,0.897
138,331200,-27.75,0.25,5.5,2.75,-6.8,1.5,1.287,0.3791,-0.0287,0.868
139,333600,-55.0,0.0,0.75,8.0,-13.47,1.12,1.304,0.414,0.073,0.512
140,336000,-57.75,0.0,1.0,9.88,-14.22,1.5,1.281,0.5814,0.0998,0.643
141,338400,-47.75,0.0,2.25,4.12,-11.78,1.38,1.281,0.3454,-0.0355,1.116
142,340800,-40.62,0.0,2.75,5.0,-9.91,1.5,1.275,0.335,0.0597,0.822
143,343200,-34.0,0.125,2.75,5.12,-8.23,1.38,1.287,0.2859,0.0542,0.438
144,345600,-33.25,0.0,4.62,5.5,-8.19,1.62,1.276,0.2551,-0.0131,0.46
145,348000,-42.25,0.0,2.25,4.0,-10.3,1.38,1.313,0.3034,-0.162,0.783
146,350400,-58.88,0.0,0.88,9.75,-14.53,1.38,1.308,0.3412,0.1022,0.901
147,352800,-59.38,0.0,3.12,14.88,-14.56,1.62,1.306,0.5802,0.0356,1.2
148,355200,-48.25,0.125,2.88,8.38,-11.77,1.38,1.322,0.5023,0.0773,0.42
149,357600,-34.0,0.25,4.0,5.5,-8.27,1.38,1.326,0.3057,-0.0276,0.38
150,360000,-48.25,0.0,1.75,7.12,-11.77,1.25,1.317,0.3737,0.0308,0.343
151,362400,-46.75,0.0,1.75,6.75,-11.3,1.25,1.319,0.3147,-0.0943,0.384
152,364800,-41.75,0.0,1.0,5.75,-10.02,1.25,1.308,0.2827,-0.0449,0.548
153,367200,-39.12,0.0,1.75,4.88,-9.56,1.12,1.309,0.2696,-0.0223,0.519
154,369600,-27.25,0.0,1.12,1.25,-6.44,1.12,1.323,0.1477,-0.206,0.953
155,372000,-45.0,0.0,1.38,9.75,-11.02,1.25,1.298,0.328,0.1596,0.561
156,374400,-39.12,0.0,1.88,7.0,-9.52,1.25,1.321,0.3673,0.0176,0.276
157,376800,-59.75,0.0,0.62,9.5,-14.61,1.25,1.315,0.4504,0.0617,0.806
158,379200,-37.25,0.0,1.38,4.75,-8.91,1.25,1.324,0.1703,-0.0575,0.506
159,381600,-47.12,0.0,2.5,8.88,-11.47,1.5,1.323,0.4078,0.099,0.464
160,384000,-44.5,0.125,4.12,10.75,-10.75,1.5,1.331,0.3945,0.0199,0.4
161,386400,-46.75,0.0,1.5,6.38,-11.42,1.12,1.335,0.3314,0.0676,0.383
162,388800,-49.12,0.0,1.62,6.25,-11.91,1.25,1.341,0.2198,-0.0332,0.596
163,391200,-44.25,0.0,0.38,6.88,-10.86,1.12,1.337,0.3093,0.0434,0.343
164,393600,-43.5,0.0,0.62,5.88,-10.59,1.12,1.337,0.2047,0.0012,0.303
165,396000,-45.75,0.0,1.25,6.12,-11.11,1.25,1.328,0.301,0.0134,0.438
166,398400,-43.12,0.0,2.75,10.12,-10.45,1.25,1.33,0.5328,0.0949,0.388
167,400800,-39.12,0.0,2.12,8.62,-9.58,1.38,1.333,0.2734,0.0742,0.427
168,403200,-46.75,0.0,1.88,10.25,-11.55,1.38,1.328,0.3818,0.1401,0.395
169,405600,-45.0,0.0,4.25,11.62,-10.97,1.75,1.299,0.3049,-0.0188,0.449
170,408000,-36.5,0.0,2.0,5.12,-8.73,1.5,1.305,0.236,-0.0095,0.41
171,410400,-55.5,0.0,0.75,8.5,-13.61,1.25,1.296,0.4869,0.0581,0.721
172,412800,-38.75,0.0,0.88,4.88,-9.48,1.12,1.315,0.2282,0.0069,0.344
173,415200,-38.5,0.0,0.38,2.88,-9.3,1.0,1.313,0.1724,0.0426,0.447
174,417600,-40.5,0.0,2.38,6.38,-9.78,1.25,1.287,0.2668,0.0724,0.352
175,420000,-31.12,0.0,1.12,3.62,-7.53,1.25,1.277,0.1304,0.0393,0.572
176,422400,-47.62,0.0,2.12,7.5,-11.75,1.38,1.242,0.3067,0.0748,0.49
177,424800,-41.38,0.0,2.5,6.0,-10.09,1.5,1.213,0.278,0.0733,0.48
178,427200,-29.12,0.0,1.38,4.62,-7.11,1.12,1.255,0.2206,0.132,0.705
179,429600,-49.75,0.0,1.5,9.62,-12.23,1.25,1.225,0.3428,0.0072,0.641
180,432000,-40.75,0.0,2.62,6.75,-10.12,1.62,1.187,0.2694,-0.0631,0.322
181,434400,-56.25,0.0,2.0,12.62,-13.98,1.5,1.222,0.49,-0.1492,0.795
182,436800,-47.88,0.0,3.0,11.75,-11.61,1.62,1.191,0.4615,-0.0254,0.456
183,439200,-34.12,0.0,3.12,9.75,-8.48,1.62,1.205,0.2645,0.0507,0.517
184,441600,-42.88,0.0,0.62,6.5,-10.39,1.25,1.23,0.2756,0.0216,0.277
185,444000,-24.75,0.0,0.88,1.38,-6.11,1.0,1.232,0.1336,0.1123,0.632
186,446400,-23.0,0.0,1.88,2.88,-5.69,1.38,1.217,0.1918,0.0502,0.857
187,448800,-33.88,0.0,1.75,5.62,-8.12,1.5,1.213,0.2252,0.0372,0.606
188,451200,-44.75,0.0,1.25,9.5,-11.11,1.12,1.255,0.3485,0.0807,0.436
189,453600,-32.0,0.0,1.12,4.88,-8.0,1.25,1.249,0.2589,-0.068,0.349
190,456000,-35.0,0.0,1.5,5.88,-8.75,1.5,1.231,0.2517,-0.017,0.404
191,458400,-35.88,0.0,1.5,7.75,-8.91,1.25,1.24,0.2104,0.024,0.256
192,460800,-35.5,0.0,2.25,7.62,-8.88,1.38,1.225,0.3168,0.0185,0.409
193,463200,-41.5,0.0,0.75,6.75,-10.25,1.12,1.236,0.2571,-0.0806,0.666
194,465600,-34.75,0.125,2.12,5.75,-8.44,1.5,1.191,0.3698,-0.0717,0.333
195,468000,-27.0,0.0,1.12,1.88,-6.69,1.0,1.22,0.127,0.0279,0.438
196,470400,-40.12,0.0,1.38,7.0,-9.81,1.25,1.204,0.2485,-0.0025,0.53
197,472800,-33.5,0.0,1.12,6.88,-8.34,1.12,1.22,0.2722,0.081,0.295
198,475200,-27.75,0.0,1.0,1.25,-6.56,1.38,1.182,0.0942,-0.0217,0.47
199,477600,-37.88,0.0,1.62,7.0,-9.39,1.12,1.23,0.2524,0.0348,0.455
200,480000,-25.0,0.0,1.0,2.75,-6.25,1.0,1.233,0.1332,-0.0154,0.32
201,482400,-36.12,0.0,1.75,7.0,-8.97,1.38,1.216,0.3127,-0.0057,0.332
202,484800,-19.12,0.0,3.25,1.12,-4.72,1.5,1.207,0.166,-0.0656,0.809
203,487200,-42.25,0.0,1.25,7.12,-10.56,1.38,1.232,0.34,0.0955,0.559
204,489600,-21.75,0.0,1.75,2.75,-5.38,1.25,1.253,0.1023,-0.0587,0.62
