game,opp_id,won,my_score,opp_score,t,total,ours,opp,uncertain,dead,created_exposed,own_half_exposed,cfg_margin,cfg_future_seed,cfg_created_near_tent_r,cfg_farm_r,raw
895549976,boss,False,181.0,239.0,220,248,58,119,71,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,225,249,0,230,19,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,230,248,0,131,117,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,235,233,4,229,0,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,240,241,0,156,85,0,8,27,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,245,237,19,120,98,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,250,253,0,128,125,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,255,241,4,218,19,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,260,217,19,100,98,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,265,221,0,104,117,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,270,209,0,190,19,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,275,201,19,84,98,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,280,189,4,166,19,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,285,189,8,83,20,78,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,290,165,0,48,20,97,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,295,169,0,52,0,117,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,300,153,0,0,0,153,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549991,boss,False,221.0,256.0,5,248,88,104,56,0,0,72,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,10,267,117,113,37,0,0,53,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,15,281,104,120,57,0,0,73,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,20,298,131,129,38,0,0,55,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,25,304,212,16,76,0,0,56,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,30,305,0,252,53,0,0,189,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,35,317,18,182,117,0,0,174,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,40,307,18,211,78,0,0,156,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,45,325,18,38,269,0,0,157,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,50,320,40,19,261,0,0,158,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,55,316,19,158,139,0,0,139,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,60,297,0,198,99,0,0,139,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,65,293,19,0,274,0,4,124,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,70,307,20,38,249,0,8,147,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,75,309,0,38,271,0,12,132,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,80,316,0,0,316,0,0,120,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,85,320,24,38,258,0,0,100,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,90,339,4,28,307,0,0,120,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,95,328,20,19,289,0,4,104,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,100,312,0,208,104,0,4,124,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,105,320,40,192,88,0,4,84,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,110,309,80,78,151,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,115,313,20,162,131,0,4,104,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,120,302,100,114,88,0,0,20,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,125,315,40,211,64,0,4,84,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,130,326,80,206,40,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,135,321,20,96,205,0,0,100,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,140,307,40,135,132,0,0,80,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,145,315,40,38,237,0,4,84,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,150,311,80,139,92,0,8,48,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,155,315,0,115,200,0,0,120,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,160,327,76,136,115,0,4,104,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,165,327,48,155,124,0,0,80,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,170,311,128,115,68,0,0,20,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,175,324,24,114,186,0,0,80,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,180,331,60,231,40,0,0,40,3,1,2,2,data/boss5_games/boss/game_895549991.raw
895549991,boss,False,221.0,256.0,185,328,20,0,308,0,0,80,3,1,2,2,data/boss5_games/boss/game_895549991.raw
