agent_id,from_epoch,to_epoch,from_score,to_score,score_delta,games,wins,losses,ties,net_wins,opponent_score_mean,internal,outcome_complete,next_games,next_wins,next_losses,next_ties,next_net_wins,next_opponent_score_mean,next_outcome_complete
6479814,5,6,24.702308248928922,24.91567474969543,0.21336650076650798,30,9,21,0,-12,24.38917117221613,True,True,1,1,0,0,1,23.035760298622517,True
6479814,6,7,24.91567474969543,24.702308248928922,-0.21336650076650798,1,1,0,0,1,23.035760298622517,True,True,11,9,2,0,7,24.865709040815872,True
6479814,7,8,24.702308248928922,24.91567474969543,0.21336650076650798,11,9,2,0,7,24.865709040815872,True,True,10,5,5,0,0,26.156997090654176,True
6479814,8,9,24.91567474969543,24.702308248928922,-0.21336650076650798,10,5,5,0,0,26.156997090654176,True,True,50,21,29,0,-8,26.259675129599184,False
6479840,0,1,23.60982915696392,24.441279120387374,0.8314499634234558,39,25,14,0,11,23.820966359451365,False,False,1,0,1,0,-1,25.253636143961657,True
6479840,1,2,24.441279120387374,24.285970066283838,-0.15530905410353668,1,0,1,0,-1,25.253636143961657,True,True,1,0,1,0,-1,17.363087992869353,True
6479840,2,3,24.285970066283838,24.101236725764196,-0.1847333405196423,1,0,1,0,-1,17.363087992869353,True,True,1,1,0,0,1,26.30605586442285,True
6479840,3,4,24.101236725764196,23.60982915696392,-0.4914075688002768,1,1,0,0,1,26.30605586442285,True,True,41,17,24,0,-7,24.09993122510855,True
6479840,4,5,23.60982915696392,23.807667168339957,0.19783801137603874,41,17,24,0,-7,24.09993122510855,True,True,3,1,2,0,-1,23.035760298622517,True
6479840,5,6,23.807667168339957,23.60982915696392,-0.19783801137603874,3,1,2,0,-1,23.035760298622517,True,True,51,23,28,0,-5,24.45669103603121,True
6479840,6,7,23.60982915696392,23.5877100823894,-0.022119074574519004,51,23,28,0,-5,24.45669103603121,True,True,2,1,1,0,0,22.081083934284866,True
6479840,7,8,23.5877100823894,23.60863269285141,0.020922610462008606,2,1,1,0,0,22.081083934284866,True,True,2,1,1,0,0,21.052843999043848,False
6479863,0,1,22.06158519072773,22.80438011891114,0.742794928183411,37,16,21,0,-5,21.234550148975366,False,False,2,1,1,0,0,23.802451822222054,True
6479863,1,2,22.80438011891114,22.06158519072773,-0.742794928183411,2,1,1,0,0,23.802451822222054,True,True,48,22,26,0,-4,23.053702999230584,True
6479863,2,3,22.06158519072773,22.511617072104478,0.45003188137674854,48,22,26,0,-4,23.053702999230584,True,True,8,5,3,0,2,23.035760298622517,True
6479863,3,4,22.511617072104478,22.06158519072773,-0.45003188137674854,8,5,3,0,2,23.035760298622517,True,True,40,13,27,0,-14,23.64081196755485,True
6479863,4,5,22.06158519072773,22.087845021862424,0.026259831134694878,40,13,27,0,-14,23.64081196755485,True,True,1,1,0,0,1,14.340609514210614,True
6479863,5,6,22.087845021862424,22.42720732770779,0.3393623058453663,1,1,0,0,1,14.340609514210614,True,True,14,9,5,0,4,22.06831568905203,True
6479863,6,7,22.42720732770779,22.666492435242642,0.239285107534851,14,9,5,0,4,22.06831568905203,True,True,7,5,2,0,3,20.869866691797654,False
6479914,0,1,22.959237492284316,24.016316359965998,1.0570788676816818,14,5,9,0,-4,23.649528992597276,False,False,1,0,1,0,-1,26.30605586442285,True
