iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
123,295200,4.0,0.375,8.0,4.38,1.05,1.25,1.426,0.3199,-0.0802,0.306
124,297600,-22.38,0.375,13.62,16.62,-5.59,1.62,1.414,1.0737,0.1466,1.507
125,300000,-29.88,0.25,8.12,15.5,-7.33,1.38,1.377,1.1393,-0.0153,0.876
126,302400,-10.0,0.375,11.25,10.38,-2.31,1.5,1.383,0.9255,-0.0283,0.477
127,304800,17.12,0.375,15.25,5.12,4.3,1.5,1.381,0.39,0.0188,0.684
128,307200,-12.0,0.375,12.5,11.5,-2.97,1.62,1.439,0.5187,0.2054,1.234
129,309600,22.5,0.375,15.88,3.38,5.8,1.5,1.376,0.6451,-0.1048,0.412
130,312000,11.75,0.5,20.38,13.38,2.97,1.62,1.38,0.9068,-0.127,0.42
131,314400,-28.75,0.125,3.12,6.38,-7.09,1.12,1.422,0.3895,-0.014,0.579
132,316800,6.62,0.25,18.62,13.5,1.72,1.88,1.42,0.7263,0.1541,1.297
133,319200,19.12,0.5,17.0,9.0,4.91,1.5,1.375,0.9496,-0.0375,0.929
134,321600,-10.38,0.25,17.38,19.12,-2.56,1.62,1.394,1.0378,-0.0685,0.637
135,324000,-2.38,0.375,17.25,14.12,-0.45,1.62,1.384,1.1402,-0.1001,0.456
136,326400,-15.0,0.375,11.88,11.75,-3.48,1.38,1.372,0.9918,-0.0089,0.479
137,328800,-35.5,0.0,0.12,7.75,-8.84,1.0,1.404,0.4288,-0.0103,0.486
138,331200,54.12,0.5,25.12,3.5,13.58,1.62,1.369,0.6102,-0.162,1.615
139,333600,0.5,0.625,16.5,11.62,0.41,1.5,1.376,1.3293,-0.0606,0.651
140,336000,-2.75,0.5,15.75,13.88,-0.67,1.5,1.387,1.0654,-0.0031,0.522
141,338400,23.62,0.5,19.38,6.25,6.06,1.5,1.373,0.7949,-0.1405,0.776
142,340800,52.88,0.625,29.12,7.25,13.22,1.75,1.354,0.8585,-0.0438,1.086
143,343200,37.75,0.75,18.75,6.38,9.56,1.5,1.38,0.7773,-0.1271,1.577
144,345600,57.5,0.625,28.25,6.25,14.95,1.75,1.366,0.8387,-0.1687,1.372
145,348000,20.12,0.5,18.25,7.5,5.06,1.5,1.379,0.6355,-0.0495,0.605
146,350400,20.88,0.375,21.75,11.0,5.23,1.88,1.421,0.9107,-0.017,0.641
147,352800,-25.38,0.375,12.75,18.12,-6.33,1.5,1.409,1.0747,-0.007,0.89
148,355200,15.0,0.5,19.38,11.75,3.91,1.5,1.375,1.069,-0.1279,0.698
149,357600,30.0,0.625,19.38,6.12,7.53,1.62,1.395,0.5159,-0.1644,0.45
150,360000,6.62,0.25,15.0,8.38,1.67,1.5,1.403,0.6966,-0.0,0.708
