agent_id,pseudo,games,seat0,seat1,active,current_rank,current_score,primary_eligible,control_min,raw_mean_margin,raw_win_rate,mean_margin_residual,ci_low,ci_high,mean_win_residual,raw_p,holm_p,actionable,failed_actionability_gates
6520935,goq,1,1,0,False,,,False,,-28.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6541379,GoodDevel,4,4,0,True,57,20.12,False,,0.5,0.75,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6557104,Bubaptik,2,2,0,False,,,False,,1.0,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6557848,FreZzz,10,4,6,False,,,False,,15.2,0.4,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6563190,Bubaptik,4,3,1,False,,,False,,-9.0,0.25,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6563484,Bubaptik,2,0,2,False,,,False,,14.0,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6563637,Bubaptik,4,1,3,False,,,False,,28.75,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6563744,Bubaptik,1,1,0,False,,,False,,21.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6565274,Bubaptik,1,1,0,False,,,False,,-60.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
6565503,Bubaptik,1,0,1,False,,,False,,122.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative,active_exact_agent"
