variant_leg,leg,game_id,deployed_variant,deployed_first_mismatch_turn,seat,opponent_agent_id,opponent_submission_id,margin,win,catastrophe,initial_fingerprint,static_fingerprint,current_apple_activation_turn,apple_idle_activation_turn,banana_activation_turn,banana_idle_activation_turn,starter_base_verb,starter_base_command,starter_cell,mother_cell,starter_to_mother_turns,enemy_eta,apple_enemy_kill_eta,banana_enemy_kill_eta,apple_kill_safe,banana_kill_safe,apple_first_bank_eta,banana_first_bank_eta,apple_payback_safe,banana_payback_safe,apple_projected_banked_fruit,banana_projected_banked_fruit,bank_apple,bank_banana,actual_mother_planted,actual_first_plant_turn,actual_first_harvest_turn,actual_first_bank_turn,actual_banked_fruit,actual_harvested_fruit,actual_mother_survived
leg-01-no-orchard,1,897937881,no-orchard,,0,6479840,40707649,146,True,False,b4ad7f340972b80f84f2e4d714bbe37851ce630c1b1eb72ebec618591ccde66e,38f76ad4d7b501f0c7245b86e5b30b74f49abeb203b46047f472476d597725ff,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937888,no-orchard,51,0,6479814,40706161,16,True,False,43f7a34f4d8b80324524db9d8e97c0ccad162e8a042c8ea9093feb456f2b55be,10a437daa1bfaa82841ca9a6f338c035cdc50ba560d795124ab97fd0817ab94d,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937897,no-orchard,,0,6479658,40700655,-26,False,False,d252963cbdf88cfac598a8af04561ee1eee1294e908d8d04fea1fb9ee64aadf6,f8a8a9334ea7ef831c64eb56adb7f6b637b46c573ec694c27b4309006568c027,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937920,no-orchard,,0,6479658,40700655,75,True,False,f866dd9fb07fe8643d4fccdbf6a897cb396726aec9d6ea64f95a05f50d800be0,a53b7688b8229215287c3eab212ad347cc832e84470e268e7bcb9b1290cc01a7,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937934,no-orchard,68,0,6481139,40709105,-22,False,False,50a377a6e757df233283776e9273f4824a10d97297e613c5247a656aba43992d,1444cbd738194bd1fcfd932c2a706809c58869a48936d36e1e5fb0848a1bd75e,,,,,,,,4:3,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937948,no-orchard,50,1,6479814,40706161,-4,False,False,102a871215f39604e632160eeb61208dbbc045599385f896b3542d83a41869fa,c70d189faa5a058ab859473dc6675be3e64cacc38c364a1824b1c9402ddd0620,2,,2,,MOVE,MOVE 1 11 7,12:7,14:7,4,12,32,17,True,False,15,23,False,False,142,69,2,7,False,,,,0,0,False
leg-01-no-orchard,1,897937956,no-orchard,,1,6480947,40705790,57,True,False,c3ead206d77d6e786e27219d41aa1b3bb95b3e61c19f36d56786322537d980c1,85ede1ded30ac6a5ad372fa9320110ed2bf1aad58de384c90d635301d329dc4c,47,,47,,MOVE,MOVE 1 11 3,12:3,13:4,2,14,34,20,True,True,13,21,True,False,121,59,5,4,False,,,,0,0,False
leg-01-no-orchard,1,897937960,no-orchard,,1,6580001,41059538,-5,False,False,b8ffc461c8ebbbe002e3e9939cd6a3ace7e9f162dbceabe843989c0cb6c69c5d,9cd403ce82a0b5fc783af0c4046dd8ae7c256d233c6c3d5a62f9d434c633607a,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937971,no-orchard,,0,6512040,40851046,-33,False,False,baa55be797901bfbbac994b5d840707433243f66c94f2186843022e58dd408e9,5bb8bb7f0d98054d3028b538c61f67dc2e9e66dd9637c1399f0d11e4b520ca3a,16,,16,,MOVE,MOVE 0 5 5,5:4,4:3,2,9,22,14,True,False,13,21,False,False,136,66,1,7,False,,,,0,0,False
leg-01-no-orchard,1,897937978,no-orchard,60,1,6479750,40708706,8,True,False,358b2dd1e13b527af28dfa16128a1343191aa19607e42982b5c4c595dc0e429e,35c63994ab4caa9bb08958f34528b77e567a86f876e365350eca3e6f741fb628,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
