seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
38,0,212,190,273,6,46,9,66,0,0
38,1,177,172,237,8,41,9,57,0,0
39,0,280,148,228,0,37,12,54,0,0
39,1,288,146,251,2,36,11,60,0,0
40,0,223,171,167,15,39,7,40,0,0
40,1,277,182,220,10,43,12,52,0,0
41,0,192,100,178,8,23,6,43,0,0
41,1,287,140,266,0,35,10,64,0,0
42,0,287,199,55,15,46,19,9,0,0
42,1,269,187,75,15,43,27,12,0,0
43,0,300,167,242,3,41,10,58,0,0
43,1,300,182,238,2,45,10,57,0,0
44,0,300,121,317,9,28,13,76,0,0
44,1,300,123,282,11,28,10,68,0,0
45,0,230,209,291,9,50,11,70,0,0
45,1,265,254,325,2,63,9,79,0,0
46,0,277,217,309,5,53,13,74,0,0
46,1,300,260,328,0,65,16,78,0,0
47,0,236,144,293,8,34,9,71,0,0
47,1,300,152,371,8,36,7,91,0,0
48,0,300,120,236,8,28,8,57,0,0
48,1,248,112,185,8,26,9,44,0,0
49,0,275,111,205,3,27,5,50,0,0
49,1,276,136,238,0,34,2,59,0,0
50,0,234,133,186,1,33,10,44,0,0
50,1,236,159,179,3,39,7,43,0,0
51,0,262,217,296,9,52,16,70,0,0
51,1,300,220,296,0,55,16,70,0,0
52,0,279,309,123,13,74,15,27,0,0
52,1,272,293,74,13,70,14,15,0,0
53,0,228,136,284,8,32,8,69,0,0
53,1,278,151,294,3,37,6,72,0,0
54,0,287,192,240,8,46,16,56,0,0
54,1,300,180,238,0,45,18,55,0,0
55,0,300,167,326,15,38,14,78,0,0
55,1,300,188,19,20,42,19,0,0,0
56,0,284,186,230,6,45,6,56,0,0
56,1,300,176,240,0,44,8,58,0,0
57,0,214,144,255,12,33,15,60,0,0
57,1,235,150,252,10,35,16,59,0,0
58,0,288,202,299,10,48,7,73,0,0
58,1,300,208,143,16,48,7,34,0,0
59,0,219,125,204,5,30,20,46,0,0
59,1,193,121,182,9,28,18,41,0,0
60,0,212,114,104,6,27,8,24,0,0
60,1,210,106,104,6,25,8,24,0,0
61,0,270,129,117,9,30,21,24,0,0
61,1,254,137,118,9,32,22,24,0,0
62,0,253,144,250,4,35,6,61,0,0
62,1,253,166,16,10,39,12,1,0,0
63,0,262,161,233,13,37,13,55,0,0
63,1,239,162,172,14,37,12,40,0,0
64,0,269,216,191,12,51,7,46,0,0
64,1,230,184,166,12,43,6,40,0,0
65,0,236,153,147,13,35,11,34,0,0
65,1,243,160,155,12,37,11,36,0,0
66,0,300,164,316,4,40,12,76,0,0
66,1,287,152,264,4,37,16,62,0,0
67,0,194,156,241,12,36,9,58,0,0
67,1,217,176,243,8,42,11,58,0,0
68,0,295,238,230,10,57,14,54,0,0
68,1,300,194,239,2,48,15,56,0,0
69,0,263,132,328,4,32,4,81,0,0
69,1,290,164,320,0,41,4,79,0,0
70,0,248,145,234,5,35,18,54,0,0
70,1,229,131,213,7,31,13,50,0,0
71,0,154,181,141,9,43,9,33,0,0
71,1,148,181,126,9,43,10,29,0,0
72,0,300,132,353,12,30,13,85,0,0
72,1,300,136,17,12,31,17,0,0,0
73,0,236,208,268,4,51,12,64,0,0
73,1,257,256,331,0,64,11,80,0,0
74,0,204,148,195,0,37,11,46,0,0
74,1,120,138,131,10,32,11,30,0,0
75,0,242,167,254,11,39,14,60,0,0
75,1,300,187,308,7,45,12,74,0,0
76,0,251,189,295,13,44,15,70,0,0
76,1,282,204,328,8,49,16,78,0,0
77,0,300,139,26,15,31,26,0,0,0
77,1,300,133,192,9,31,12,45,0,0
78,0,264,195,302,11,46,10,73,0,0
78,1,300,191,370,7,46,10,90,0,0
79,0,300,173,285,5,42,13,68,0,0
79,1,271,172,274,8,41,14,65,0,0
80,0,277,186,181,10,44,5,44,0,0
80,1,300,194,21,10,46,13,2,0,0
81,0,197,126,142,6,30,22,30,0,0
81,1,169,122,104,10,28,12,23,0,0
82,0,300,179,294,15,41,10,71,0,0
82,1,300,167,262,11,39,14,62,0,0
83,0,300,204,354,4,50,14,85,0,0
83,1,246,189,256,9,45,16,60,0,0
84,0,244,180,110,20,40,14,24,0,0
84,1,232,184,77,20,41,13,16,0,0
85,0,279,137,218,17,30,82,34,0,0
85,1,300,143,363,11,33,19,86,0,0
86,0,277,211,266,3,52,10,64,0,0
86,1,252,204,264,0,51,8,64,0,0
87,0,231,104,156,12,23,12,36,0,0
87,1,283,149,196,9,35,12,46,0,0
88,0,300,136,276,0,34,4,68,0,0
88,1,300,148,322,0,37,2,80,0,0
89,0,300,171,288,7,41,8,70,0,0
