seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
148,1,300,259,367,135,31,15,88,0,0
149,0,300,327,351,7,80,7,86,0,0
149,1,300,359,307,7,88,7,75,0,0
150,0,200,268,272,12,64,12,65,0,0
150,1,200,272,268,12,65,12,64,0,0
151,0,300,352,347,8,86,7,85,0,0
151,1,300,346,379,14,83,7,93,0,0
152,0,300,381,357,13,92,5,88,0,0
152,1,300,352,352,8,86,4,87,0,0
153,0,300,365,358,17,87,6,88,0,0
153,1,300,422,363,14,102,7,89,0,0
154,0,300,348,300,12,84,12,72,0,0
154,1,300,358,268,14,86,12,64,0,0
155,0,300,390,295,14,94,15,70,0,0
155,1,300,381,412,13,92,8,101,0,0
156,0,260,284,325,8,69,9,79,0,0
156,1,224,234,228,10,56,12,54,0,0
157,0,300,536,544,4,133,4,135,0,0
157,1,300,524,544,4,130,4,135,0,0
158,0,300,536,503,16,130,7,124,0,0
158,1,300,511,527,15,124,7,130,0,0
159,0,300,414,398,14,100,10,97,0,0
159,1,300,408,410,16,98,10,100,0,0
160,0,300,280,332,4,69,4,82,0,0
160,1,300,306,248,10,74,4,61,0,0
161,0,300,411,372,11,100,4,92,0,0
161,1,300,357,356,13,86,4,88,0,0
162,0,215,193,228,13,45,12,54,0,0
162,1,215,228,193,12,54,13,45,0,0
163,0,300,264,286,8,64,6,70,0,0
163,1,300,278,294,6,68,6,72,0,0
164,0,300,339,342,27,78,6,84,0,0
164,1,300,366,368,18,87,8,90,0,0
165,0,300,346,330,22,81,10,80,0,0
165,1,300,365,336,25,85,8,82,0,0
166,0,300,390,400,14,94,8,98,0,0
166,1,300,417,403,17,100,7,99,0,0
167,0,300,235,318,11,56,10,77,0,0
167,1,300,330,338,10,80,10,82,0,0
168,0,297,352,377,12,85,13,91,0,0
168,1,300,398,310,10,97,10,75,0,0
169,0,247,196,180,4,48,4,44,0,0
169,1,268,215,215,7,52,7,52,0,0
170,0,173,125,117,13,28,13,26,0,0
170,1,161,109,109,13,24,13,24,0,0
171,0,300,394,383,18,94,11,93,0,0
171,1,300,391,371,15,94,11,90,0,0
172,0,300,357,317,9,87,5,78,0,0
172,1,300,355,329,19,84,5,81,0,0
173,0,281,196,213,12,46,13,50,0,0
173,1,294,203,219,7,49,7,53,0,0
174,0,300,264,248,12,63,12,59,0,0
174,1,300,283,275,7,69,11,66,0,0
175,0,294,279,311,7,68,7,76,0,0
175,1,298,306,262,6,75,6,64,0,0
176,0,300,21,311,21,0,7,76,0,0
176,1,300,280,308,16,66,8,75,0,0
177,0,300,344,318,20,81,14,76,0,0
177,1,300,341,326,21,80,6,80,0,0
178,0,300,641,412,5,159,4,102,0,0
178,1,300,424,560,4,105,4,139,0,0
179,0,300,325,346,21,76,2,86,0,0
179,1,300,334,314,22,78,2,78,0,0
180,0,300,293,333,9,71,9,81,0,0
180,1,300,333,265,9,81,9,64,0,0
181,0,286,248,215,8,60,7,52,0,0
181,1,272,236,194,8,57,10,46,0,0
182,0,234,309,302,13,74,14,72,0,0
182,1,264,318,312,14,76,16,74,0,0
183,0,300,375,401,19,89,9,98,0,0
183,1,300,380,377,16,91,9,92,0,0
184,0,171,148,141,12,34,13,32,0,0
184,1,189,165,164,13,38,12,38,0,0
185,0,300,349,314,17,83,10,76,0,0
185,1,300,321,330,17,76,10,80,0,0
186,0,300,360,370,16,86,10,90,0,0
186,1,300,30,267,30,0,11,64,0,0
187,0,300,371,362,11,90,10,88,0,0
187,1,300,391,318,11,95,10,77,0,0
188,0,300,264,247,8,64,7,60,0,0
188,1,300,247,303,7,60,7,74,0,0
189,0,300,373,353,13,90,13,85,0,0
189,1,300,380,355,16,91,15,85,0,0
190,0,300,329,296,13,79,16,70,0,0
190,1,300,326,340,22,76,12,82,0,0
191,0,300,444,479,4,110,3,119,0,0
191,1,300,479,443,3,119,3,110,0,0
192,0,300,358,353,6,88,5,87,0,0
192,1,300,398,389,6,98,5,96,0,0
193,0,300,20,391,20,0,3,97,0,0
193,1,300,20,507,20,0,3,126,0,0
194,0,289,289,301,9,70,9,73,0,0
194,1,281,290,307,10,70,11,74,0,0
195,0,300,238,274,6,58,6,67,0,0
195,1,300,23,254,23,0,6,62,0,0
196,0,300,347,365,11,84,5,90,0,0
196,1,300,13,340,13,0,4,84,0,0
197,0,276,360,360,8,88,8,88,0,0
197,1,282,385,359,9,94,7,88,0,0
198,0,300,309,271,5,76,7,66,0,0
198,1,300,307,307,11,74,3,76,0,0
199,0,300,411,403,3,102,3,100,0,0
199,1,300,404,399,4,100,3,99,0,0
