age_after_days,age_before_days,age_bin_after,age_bin_before,agent_id,crossed_age_bin,elapsed_days,from_snapshot,lifetime_battle_count_delta,pseudo,rank_after,rank_before,rank_delta,rank_only_movement,score_after,score_before,score_changed,score_changed_without_update_advance,score_delta,to_snapshot,update_advanced,update_advanced_without_score_change,update_regressed,user_id,visible_dropped_battle_ids,visible_new_battle_ids
62.14526375,56.05446289351851,ge_14d,ge_14d,6479404,False,6.090800856481548,20260721T105508Z-d61p,,boddissattva,356.0,360.0,-4.0,True,11.18,11.18,False,False,0.0,20260727T130712Z-d61p,False,False,False,3742297,0,0
62.80644241898148,62.14526375,ge_14d,ge_14d,6479404,False,0.6611786689802452,20260727T130712Z-d61p,,boddissattva,356.0,356.0,0.0,False,11.18,11.18,False,False,0.0,20260728T050038Z-d61p,False,False,False,3742297,0,0
62.89364028935185,62.80644241898148,ge_14d,ge_14d,6479404,False,0.0871978703720702,20260728T050038Z-d61p,,boddissattva,356.0,356.0,0.0,False,11.18,11.18,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,3742297,0,0
63.061809699074075,62.89364028935185,ge_14d,ge_14d,6479404,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,boddissattva,356.0,356.0,0.0,False,11.18,11.18,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,3742297,0,0
63.69586508101852,63.061809699074075,ge_14d,ge_14d,6479404,False,0.6340553819443341,20260728T110709Z-d61p-wide,,boddissattva,356.0,356.0,0.0,False,11.18,11.18,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,3742297,0,0
64.69541012731482,63.69586508101852,ge_14d,ge_14d,6479404,False,0.9995450462980403,20260729T021701Z-d61p-wide,,boddissattva,356.0,356.0,0.0,False,11.18,11.18,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,3742297,0,0
62.14524672453703,56.05444586805555,ge_14d,ge_14d,6479409,False,6.090800856481548,20260721T105508Z-d61p,,kryn_,104.0,103.0,1.0,False,15.46,15.48,True,False,-0.019999999999999574,20260727T130712Z-d61p,True,False,False,7287018,0,0
62.806425393518516,62.14524672453703,ge_14d,ge_14d,6479409,False,0.6611786689802452,20260727T130712Z-d61p,,kryn_,104.0,104.0,0.0,False,15.46,15.46,False,False,0.0,20260728T050038Z-d61p,False,False,False,7287018,0,0
62.893623263888884,62.806425393518516,ge_14d,ge_14d,6479409,False,0.0871978703720702,20260728T050038Z-d61p,,kryn_,104.0,104.0,0.0,False,15.46,15.46,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,7287018,0,0
63.061792673611116,62.893623263888884,ge_14d,ge_14d,6479409,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,kryn_,103.0,104.0,-1.0,True,15.46,15.46,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,7287018,0,0
63.69584805555555,63.061792673611116,ge_14d,ge_14d,6479409,False,0.6340553819443341,20260728T110709Z-d61p-wide,,kryn_,103.0,103.0,0.0,False,15.46,15.46,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,7287018,0,0
64.69539310185185,63.69584805555555,ge_14d,ge_14d,6479409,False,0.9995450462980403,20260729T021701Z-d61p-wide,,kryn_,103.0,103.0,0.0,False,15.46,15.46,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,7287018,0,0
62.14521724537037,56.054416388888896,ge_14d,ge_14d,6479417,False,6.090800856481548,20260721T105508Z-d61p,,Kukiss,349.0,352.0,-3.0,True,11.29,11.29,False,False,0.0,20260727T130712Z-d61p,False,False,False,2931246,0,0
62.80639591435185,62.14521724537037,ge_14d,ge_14d,6479417,False,0.6611786689802452,20260727T130712Z-d61p,,Kukiss,349.0,349.0,0.0,False,11.29,11.29,False,False,0.0,20260728T050038Z-d61p,False,False,False,2931246,0,0
62.89359378472222,62.80639591435185,ge_14d,ge_14d,6479417,False,0.0871978703720702,20260728T050038Z-d61p,,Kukiss,349.0,349.0,0.0,False,11.29,11.29,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,2931246,0,0
63.061763194444445,62.89359378472222,ge_14d,ge_14d,6479417,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,Kukiss,349.0,349.0,0.0,False,11.29,11.29,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,2931246,0,0
63.69581857638889,63.061763194444445,ge_14d,ge_14d,6479417,False,0.6340553819443341,20260728T110709Z-d61p-wide,,Kukiss,349.0,349.0,0.0,False,11.29,11.29,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,2931246,0,0
64.69536362268519,63.69581857638889,ge_14d,ge_14d,6479417,False,0.9995450462980403,20260729T021701Z-d61p-wide,,Kukiss,349.0,349.0,0.0,False,11.29,11.29,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,2931246,0,0
62.14521554398148,56.05441468749999,ge_14d,ge_14d,6479418,False,6.090800856481548,20260721T105508Z-d61p,,thomas.schuerger,447.0,480.0,-33.0,False,10.2,9.63,True,False,0.5699999999999985,20260727T130712Z-d61p,True,False,False,4687360,0,0
62.806394212962964,62.14521554398148,ge_14d,ge_14d,6479418,False,0.6611786689802452,20260727T130712Z-d61p,,thomas.schuerger,453.0,447.0,6.0,False,10.17,10.2,True,False,-0.02999999999999936,20260728T050038Z-d61p,True,False,False,4687360,0,0
62.89359208333333,62.806394212962964,ge_14d,ge_14d,6479418,False,0.0871978703720702,20260728T050038Z-d61p,,thomas.schuerger,453.0,453.0,0.0,False,10.17,10.17,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,4687360,0,0
63.061761493055556,62.89359208333333,ge_14d,ge_14d,6479418,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,thomas.schuerger,450.0,453.0,-3.0,True,10.17,10.17,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,4687360,0,0
63.695816875,63.061761493055556,ge_14d,ge_14d,6479418,False,0.6340553819443341,20260728T110709Z-d61p-wide,,thomas.schuerger,457.0,450.0,7.0,False,10.07,10.17,True,False,-0.09999999999999964,20260729T021701Z-d61p-wide,True,False,False,4687360,0,0
64.6953619212963,63.695816875,ge_14d,ge_14d,6479418,False,0.9995450462980403,20260729T021701Z-d61p-wide,,thomas.schuerger,445.0,457.0,-12.0,False,10.15,10.07,True,False,0.08000000000000007,20260730T021701Z-d61p-wide,True,False,False,4687360,0,0
62.14521230324075,56.05441144675926,ge_14d,ge_14d,6479419,False,6.090800856481548,20260721T105508Z-d61p,,lomartin,508.0,510.0,-2.0,False,7.0,6.94,True,False,0.05999999999999961,20260727T130712Z-d61p,True,False,False,7280274,0,0
62.80639097222222,62.14521230324075,ge_14d,ge_14d,6479419,False,0.6611786689802452,20260727T130712Z-d61p,,lomartin,508.0,508.0,0.0,False,7.0,7.0,False,False,0.0,20260728T050038Z-d61p,False,False,False,7280274,0,0
62.8935888425926,62.80639097222222,ge_14d,ge_14d,6479419,False,0.0871978703720702,20260728T050038Z-d61p,,lomartin,508.0,508.0,0.0,False,7.0,7.0,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,7280274,0,0
63.06175825231481,62.8935888425926,ge_14d,ge_14d,6479419,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,lomartin,507.0,508.0,-1.0,True,7.0,7.0,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,7280274,0,0
63.69581363425927,63.06175825231481,ge_14d,ge_14d,6479419,False,0.6340553819443341,20260728T110709Z-d61p-wide,,lomartin,506.0,507.0,-1.0,False,6.94,7.0,True,False,-0.05999999999999961,20260729T021701Z-d61p-wide,True,False,False,7280274,0,0
64.69535868055556,63.69581363425927,ge_14d,ge_14d,6479419,False,0.9995450462980403,20260729T021701Z-d61p-wide,,lomartin,506.0,506.0,0.0,False,7.06,6.94,True,False,0.11999999999999922,20260730T021701Z-d61p-wide,True,False,False,7280274,0,0
62.14520939814815,56.05440854166667,ge_14d,ge_14d,6479420,False,6.090800856481548,20260721T105508Z-d61p,,Risen,17.0,13.0,4.0,False,24.48,25.36,True,False,-0.879999999999999,20260727T130712Z-d61p,True,False,False,841085,70,48
62.806388067129625,62.14520939814815,ge_14d,ge_14d,6479420,False,0.6611786689802452,20260727T130712Z-d61p,,Risen,17.0,17.0,0.0,False,24.48,24.48,False,False,0.0,20260728T050038Z-d61p,False,False,False,841085,1,0
62.8935859375,62.806388067129625,ge_14d,ge_14d,6479420,False,0.0871978703720702,20260728T050038Z-d61p,,Risen,17.0,17.0,0.0,False,24.48,24.48,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,841085,138,0
63.06175534722222,62.8935859375,ge_14d,ge_14d,6479420,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,Risen,17.0,17.0,0.0,False,24.48,24.48,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,841085,0,138
63.695810729166666,63.06175534722222,ge_14d,ge_14d,6479420,False,0.6340553819443341,20260728T110709Z-d61p-wide,,Risen,17.0,17.0,0.0,False,24.55,24.48,True,False,0.07000000000000028,20260729T021701Z-d61p-wide,True,False,False,841085,1,1
64.69535577546296,63.695810729166666,ge_14d,ge_14d,6479420,False,0.9995450462980403,20260729T021701Z-d61p-wide,,Risen,17.0,17.0,0.0,False,24.55,24.55,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,841085,1,0
62.14520342592593,56.05440256944445,ge_14d,ge_14d,6479421,False,6.090800856481548,20260721T105508Z-d61p,,krakeusz,52.0,59.0,-7.0,False,20.87,20.33,True,False,0.5400000000000027,20260727T130712Z-d61p,True,False,False,1162034,0,0
62.806382094907406,62.14520342592593,ge_14d,ge_14d,6479421,False,0.6611786689802452,20260727T130712Z-d61p,,krakeusz,52.0,52.0,0.0,False,20.87,20.87,False,False,0.0,20260728T050038Z-d61p,False,False,False,1162034,0,0
